STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,bad,frequencyBin,Pseudohomophone,category,ELP_FreqHAL,ELP_OrthN,ELP_PhonoN,ELP_MeanOrthNFreq,ELP_Concreteness,ELP_EmotionalValence,ELP_EmotionalArousal,ELP_MeanBigramCount,ELP_NPhonemes,ELP_NSyllables,ELP_PartOfSpeech,ELP_MeanRT,ELP_MeanAcc,ELPMeanAcc
lomal,5,0,2,127.67,7098.03,312.8,997.11,37.75,129.67,1.67,229540.89,29727.4,19810.52,2966.5,786.99,154.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
louad,5,0,0,0,10152.51,369.8,2400.16,37.25,6.96,2,231852.71,28841.2,18422.53,2023.25,255.52,93.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
louan,5,0,1,1.73,8907.9,333.6,2666.01,40.5,3.65,1.67,255913.79,32382.8,30527.44,3025,251.79,95.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
loule,5,0,2,0.68,13092.85,413.4,4003.24,47.5,1619.24,4.33,260479.22,34792.6,23303.48,3270.5,2340.33,144,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
lound,5,0,8,138.98,11104.87,381.2,3112.83,48.75,929.12,8.67,212840.29,28242.6,28377.35,2727.25,3443.42,457.67,NaN,0,NaN,pseudo,NaN,8,NaN,1690.5,NaN,NaN,NaN,NaN,NaN,NaN,,887.065,NaN,0.912
louns,5,0,6,3.53,11482.31,615.2,2933.46,65.5,558.93,7.33,232303.09,34180.2,19896,2955.25,1978.05,285.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
loute,5,0,3,14.58,11713.57,424.4,2880.31,46.75,175.33,7.33,304909.01,36567.4,26197.69,3699,2912.81,311.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
malld,5,0,1,0.18,8158.52,403.4,2150.49,56,85.89,6.67,198198.25,27301.4,20072.47,2785,3894.89,506.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
malut,5,0,0,0,6312.77,352.6,1024.48,38.25,44.58,2.33,232926.47,28536,16874.02,2546.5,783.48,141,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
marle,5,0,2,2.05,10781.71,456.2,1485.77,56.5,162.4,3.33,283745.02,37762,19808.41,3357.5,978.26,182.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
marmp,5,0,0,0,4756.87,330.8,811.6,52,61.99,4.33,181738.98,25392.2,14886.63,2451,902.39,184.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
marrt,5,0,1,47.12,8688.99,400.6,1065.13,53,110.32,4.67,272497.56,34713.8,15776.17,2505.25,1025.93,211,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
marse,5,0,5,2.33,9837.99,438.6,2166.86,66.25,146.57,8.33,302482.49,42066.4,22595.56,3592.25,1681.5,285.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
marst,5,0,2,4.73,8281.59,391.6,1647.9,60,498.93,6.33,276662.94,37016,24004.59,4375.5,1662.7,237.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
micrt,5,0,0,0,7226.19,290,526.54,22.75,0.04,0.33,231974.55,32669.2,10492.32,2246,227.74,70,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
micth,5,0,1,2.02,5305.79,284,736.58,28.75,0.16,0.67,232335.44,27276.8,40961.8,2408,499.62,121.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
mirin,5,0,0,0,6830.54,311.2,1095.08,34.75,0.85,1,248637.85,37955,29982.99,5456,1285.28,401.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
mirst,5,0,2,612,8211.45,333.8,1640.08,37.75,840.27,3.33,261392.07,38317.4,16767.24,3424.75,1165.34,90.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
mised,5,0,6,9.41,9169.47,449,1135.05,91.25,27.7,6,271914.19,39732.4,27862.7,4446.75,1920.09,408.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
mitef,5,0,1,0.36,7489.17,389.2,1211.23,40,17.53,3.67,283290.81,34539.8,21473.24,3551.75,1257.84,220.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
miven,5,0,2,167.86,8214.69,397.2,1757.54,48.5,447.25,9.67,251456.28,34227,22610.03,3192,2894.88,456.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
mocke,5,0,1,0.36,9078.3,370,548.72,40.75,30.24,4.33,218981.39,27847.6,8164.96,1469,748.76,279.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
mocld,5,0,1,10.77,9748.05,355.6,1973.23,25.75,0.16,0.67,175787.34,24243.4,7971.27,1013.75,65.78,16.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
modge,5,0,3,5.61,9275.35,364.2,631.72,39.25,67.78,7.33,239511.52,29881.4,7632.78,1180.25,435.31,119.33,NaN,0,NaN,pseudo,NaN,3,NaN,712,NaN,NaN,NaN,NaN,NaN,NaN,,796.714,NaN,0.818
molll,5,0,2,2.44,8479.97,355.6,1056.4,57,26.24,6.67,187192.71,27220.4,16146.68,2469.5,501.21,133.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
morat,5,0,1,64.01,9651.7,388.6,1141.37,46,47,4,288542.77,33504.4,27804.8,4568,2505.36,559.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
morer,5,0,6,1.02,12234.93,517,3016.98,100.25,38.81,9,286586.24,38050,42976.98,5984,2762.19,288,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
morve,5,0,1,0.77,10401.94,394.8,1192.46,48.75,55.8,3.33,246232.63,31305.2,19852.05,2262,1310.13,120,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
